CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.05.01;Participações em Coligadas;17906810.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.05.02;Participações em Controladas em Conjunto;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.05.02;Participações em Controladas em Conjunto;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.05.03;Propriedades para Investimento;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.05.03;Propriedades para Investimento;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.05.04;Outros Investimentos;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.05.04;Outros Investimentos;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.06;Imobilizado;11475080.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.06;Imobilizado;11275605.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.06.01;Imobilizado de Uso;8042835.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.06.01;Imobilizado de Uso;8545213.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.06.02;Direito de Uso de Arrendamento;3432245.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.06.02;Direito de Uso de Arrendamento;2730392.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.06.03;Depreciação Acumulada;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.06.03;Depreciação Acumulada;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.07;Intangível;5920549.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.07;Intangível;6225067.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.07.01;Intangíveis;5920549.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.07.01;Intangíveis;6225067.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.07.02;Goodwill;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.07.02;Goodwill;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.07.03;Amortização Acumulada;0.0000000000;S
00.000.000/0001-91;2020-12-31;2;BCO BRASIL S.A.;001023;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.07.03;Amortização Acumulada;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1;Ativo Total;17065850.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1;Ativo Total;25496999.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01;Caixa e Equivalentes de Caixa;562635.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01;Caixa e Equivalentes de Caixa;2973131.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.01;Caixa;562635.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.01;Caixa;2973131.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.01.02;Aplicações de Liquidez;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.01.02;Aplicações de Liquidez;0.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02;Ativos Financeiros;14541289.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02;Ativos Financeiros;20175528.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01;Depósito Compulsório Banco Central;513635.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01;Depósito Compulsório Banco Central;666944.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.01;Reservas no Banco Central;513635.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.01;Reservas no Banco Central;666944.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.02;Títulos Designados a Valor Justo;0.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.02;Títulos Designados a Valor Justo;0.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.03;Títulos Disponíves para Venda;0.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.03;Títulos Disponíves para Venda;0.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.01.04;Títulos Mantidos até o Vencimento;0.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.01.04;Títulos Mantidos até o Vencimento;0.0000000000;N
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;109127.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02;Ativos Financeiros Avaliados ao Valor Justo através do Resultado;119465.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2019-12-31;1.02.02.01;Títulos e Valores Mobiliários;109127.0000000000;S
00.000.208/0001-00;2020-12-31;4;BRB BCO DE BRASILIA S.A.;014206;DF Consolidado - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2020-12-31;1.02.02.01;Títulos e Valores Mobiliários;119465.0000000000;S
